Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
East Downtown,29.75,-95.35,PetSmart,29.7239084,-95.4593838,Pet Store
East Downtown,29.75,-95.35,Kroger,29.695869,-95.415516,Supermarket
East Downtown,29.75,-95.35,Kroger,29.754123111789752,-95.40543706747485,Supermarket
East Downtown,29.75,-95.35,Bedrock City Comic Co.,29.738429130167564,-95.49966111103411,Comic Shop
East Downtown,29.75,-95.35,CVS pharmacy,29.729950011163236,-95.41909864816579,Pharmacy
East Downtown,29.75,-95.35,The UPS Store,29.802465623626425,-95.40543638546296,Shipping Store
East Downtown,29.75,-95.35,"Spec's Wines, Spirits & Finer Foods",29.78516934659421,-95.49411949289518,Liquor Store
East Downtown,29.75,-95.35,Whole Foods Market 365,29.81367916321041,-95.39832836374156,Grocery Store
East Downtown,29.75,-95.35,Walgreens,29.742854063730295,-95.39039120078087,Pharmacy
East Downtown,29.75,-95.35,Rice Epicurean,29.746557109400666,-95.48589879169144,Fruit & Vegetable Store
East Downtown,29.75,-95.35,Fiesta Mart,29.690640703345146,-95.41476688911051,Grocery Store
East Downtown,29.75,-95.35,PETCO,29.746612383543432,-95.41084381511897,Pet Store
East Downtown,29.75,-95.35,Trader Joe's,29.75262739583288,-95.50144920293054,Grocery Store
East Downtown,29.75,-95.35,Buffalo Heights H-E-B,29.769018225991914,-95.39657534418029,Grocery Store
East Downtown,29.75,-95.35,Meyerland Plaza,29.68781133559464,-95.46093611001596,Shopping Mall
East Downtown,29.75,-95.35,Al-Ameen Halal Meat,29.685192954261364,-95.39125016208939,Grocery Store
East Downtown,29.75,-95.35,Whole Foods Market,29.752211956945917,-95.5002600692758,Grocery Store
East Downtown,29.75,-95.35,Walgreens,29.7144789,-95.295355,Pharmacy
East Downtown,29.75,-95.35,Mi Tienda,29.869838237102282,-95.33241391181946,Grocery Store
East Downtown,29.75,-95.35,"Spec's Wines, Spirits & Finer Foods",29.738083222098417,-95.51041953766054,Liquor Store
East Downtown,29.75,-95.35,European Wax Center,29.828910963742754,-95.43072542042579,Health & Beauty Service
East Downtown,29.75,-95.35,PetSmart,29.689347,-95.4135854,Pet Store
East Downtown,29.75,-95.35,Walgreens,29.750449730198486,-95.49663081765169,Pharmacy
East Downtown,29.75,-95.35,DICK'S Sporting Goods,29.743868991229565,-95.46024316598555,Sporting Goods Shop
East Downtown,29.75,-95.35,Randalls,29.7488787,-95.4658379,Supermarket
East Downtown,29.75,-95.35,The Vitamin Shoppe,29.7371869,-95.5012751,Supplement Shop
East Downtown,29.75,-95.35,Kroger,29.7429498,-95.3920988,Supermarket
East Downtown,29.75,-95.35,Kroger,29.7482323,-95.500197,Supermarket
East Downtown,29.75,-95.35,Legacy Pharmacy,29.74495533351506,-95.39403541023603,Pharmacy
East Downtown,29.75,-95.35,Macy's,29.737893463506403,-95.46436099175105,Department Store
East Downtown,29.75,-95.35,Fish Gallery,29.73518178548169,-95.48411932629477,Pet Store
East Downtown,29.75,-95.35,CVS pharmacy,29.733914464313486,-95.39135798975319,Pharmacy
East Downtown,29.75,-95.35,CVS pharmacy,29.80369203320475,-95.39870068146931,Pharmacy
East Downtown,29.75,-95.35,Walgreens,29.768195807272175,-95.23334920406342,Pharmacy
East Downtown,29.75,-95.35,Marshalls,29.7428056800702,-95.46144448298116,Department Store
East Downtown,29.75,-95.35,Cornelius Nursery,29.744307779614527,-95.50042369326914,Garden Center
East Downtown,29.75,-95.35,Sam's Club,29.72419938926226,-95.47079795175348,Warehouse Store
East Downtown,29.75,-95.35,Michaels,29.7398241754355,-95.50261214375496,Arts & Crafts Store
East Downtown,29.75,-95.35,H-E-B,29.7076528,-95.4698099,Grocery Store
East Downtown,29.75,-95.35,CVS pharmacy,29.74058424862417,-95.45759534402666,Pharmacy
East Downtown,29.75,-95.35,Petco,29.723633403217775,-95.44202018938026,Pet Store
East Downtown,29.75,-95.35,H-E-B,29.6886245,-95.4642329,Grocery Store
East Downtown,29.75,-95.35,Kroger,29.78932260971469,-95.41113406419754,Supermarket
East Downtown,29.75,-95.35,Academy Sports + Outdoors,29.739931306021663,-95.50377488136292,Sporting Goods Shop
East Downtown,29.75,-95.35,Costco Optical,29.73396183784413,-95.43966944278837,Optical Shop
East Downtown,29.75,-95.35,Kroger,29.7961848,-95.4857755,Supermarket
East Downtown,29.75,-95.35,Walmart Pharmacy,29.772815,-95.401336,Pharmacy
East Downtown,29.75,-95.35,FedEx Office Print & Ship Center,29.7384521,-95.4747551,Shipping Store
"South Central, Greater Third Ward",29.72,-95.38,"Spec's Wines, Spirits & Finer Foods",29.748694497268623,-95.37694865555139,Liquor Store
"South Central, Greater Third Ward",29.72,-95.38,H-E-B,29.7379131,-95.4026184,Grocery Store
"South Central, Greater Third Ward",29.72,-95.38,"Spec's Wines, Spirits & Finer Foods",29.744247888820528,-95.39222463224766,Liquor Store
"South Central, Greater Third Ward",29.72,-95.38,D & Q - The Beer Station,29.734773715943625,-95.38910639446627,Beer Store
"South Central, Greater Third Ward",29.72,-95.38,Trader Joe's,29.739137321386455,-95.41136096166395,Grocery Store
"South Central, Greater Third Ward",29.72,-95.38,HEB MacGregor Market,29.713732,-95.377456,Grocery Store
"South Central, Greater Third Ward",29.72,-95.38,Phoenicia Specialty Foods,29.754502385638137,-95.3617598578482,Market
"South Central, Greater Third Ward",29.72,-95.38,Whole Foods Market,29.75799411457671,-95.39764273104588,Grocery Store
"South Central, Greater Third Ward",29.72,-95.38,Kirbside Bar,29.73915182491743,-95.41818404559953,Grocery Store
"South Central, Greater Third Ward",29.72,-95.38,H-E-B,29.7267244,-95.4271793,Grocery Store
"South Central, Greater Third Ward",29.72,-95.38,Smoothie King,29.744462,-95.390984,Smoothie Shop
"South Central, Greater Third Ward",29.72,-95.38,PetSmart,29.739527,-95.411243,Pet Store
"South Central, Greater Third Ward",29.72,-95.38,Total Wine & More,29.7053679,-95.4198345,Wine Shop
"South Central, Greater Third Ward",29.72,-95.38,Whole Foods Market,29.744379,-95.381412,Grocery Store
"South Central, Greater Third Ward",29.72,-95.38,Target,29.692844991400705,-95.41843855877896,Big Box Store
"South Central, Greater Third Ward",29.72,-95.38,Central Market,29.7410098,-95.44379,Gourmet Shop
"South Central, Greater Third Ward",29.72,-95.38,Sprouts Farmers Market,29.7746374,-95.4002306,Grocery Store
"South Central, Greater Third Ward",29.72,-95.38,Whole Foods Market,29.70683332400925,-95.44169206646067,Grocery Store
"South Central, Greater Third Ward",29.72,-95.38,Costco,29.733971115841793,-95.43964074339954,Warehouse Store
"South Central, Greater Third Ward",29.72,-95.38,Texas Mattress Makers,29.752096010409602,-95.3237248121643,Mattress Store
"South Central, Greater Third Ward",29.72,-95.38,Premium Draught,29.785078174746292,-95.38786487992098,Beer Store
"South Central, Greater Third Ward",29.72,-95.38,Highland Village,29.7416493273977,-95.44676971193074,Shopping Mall
"South Central, Greater Third Ward",29.72,-95.38,River Oaks District,29.74278708403033,-95.453509579883,Shopping Mall
"South Central, Greater Third Ward",29.72,-95.38,Academy Sports + Outdoors,29.7323123,-95.4157543,Sporting Goods Shop
"South Central, Greater Third Ward",29.72,-95.38,Walgreens,29.7232028,-95.3793189,Pharmacy
"South Central, Greater Third Ward",29.72,-95.38,Buchanan's Native Plants,29.791149286134544,-95.39176072335081,Flower Shop
"South Central, Greater Third Ward",29.72,-95.38,Pepper Twins,29.75267404,-95.40339739,Health Food Store
"South Central, Greater Third Ward",29.72,-95.38,Smoothie King,29.775785,-95.382698,Smoothie Shop
"South Central, Greater Third Ward",29.72,-95.38,Kroger,29.7274415,-95.4305636,Supermarket
"South Central, Greater Third Ward",29.72,-95.38,"Spec's Wines, Spirits & Finer Foods",29.7227454885471,-95.4401333159328,Liquor Store
"South Central, Greater Third Ward",29.72,-95.38,Whole Foods Market,29.749479791687545,-95.46163506664445,Grocery Store
"South Central, Greater Third Ward",29.72,-95.38,Total Wine & More,29.751325699382097,-95.46231890674585,Wine Shop
"South Central, Greater Third Ward",29.72,-95.38,The Galleria,29.7368358,-95.4636925,Shopping Mall
"South Central, Greater Third Ward",29.72,-95.38,The Container Store,29.741415225598274,-95.46005247032731,Furniture / Home Store
"South Central, Greater Third Ward",29.72,-95.38,Kroger,29.695869,-95.415516,Supermarket
"South Central, Greater Third Ward",29.72,-95.38,Micro Center,29.724975553127997,-95.46689928963602,Electronics Store
"South Central, Greater Third Ward",29.72,-95.38,H-E-B,29.7479856,-95.4850284,Grocery Store
"South Central, Greater Third Ward",29.72,-95.38,Target,29.74507658164775,-95.45362958238226,Big Box Store
"South Central, Greater Third Ward",29.72,-95.38,Walgreens,29.7410742,-95.4406324,Pharmacy
"South Central, Greater Third Ward",29.72,-95.38,Fiesta Mart,29.690640703345146,-95.41476688911051,Grocery Store
"South Central, Greater Third Ward",29.72,-95.38,Walgreens,29.7409721,-95.4677254,Pharmacy
"South Central, Greater Third Ward",29.72,-95.38,"Spec's Wines, Spirits & Finer Foods",29.732484758031248,-95.46428225016463,Liquor Store
"South Central, Greater Third Ward",29.72,-95.38,PetSmart,29.7239084,-95.4593838,Pet Store
"South Central, Greater Third Ward",29.72,-95.38,Chocolat zeina,29.738490850482208,-95.49033461045305,Chocolate Shop
"South Central, Greater Third Ward",29.72,-95.38,Meyerland Plaza,29.68781133559464,-95.46093611001596,Shopping Mall
"South Central, Greater Third Ward",29.72,-95.38,Target,29.77467685280716,-95.38498275102646,Big Box Store
"South Central, Greater Third Ward",29.72,-95.38,Al-Ameen Halal Meat,29.685192954261364,-95.39125016208939,Grocery Store
"South Central, Greater Third Ward",29.72,-95.38,Stogies,29.738751095122883,-95.48979045703787,Smoke Shop
"South Central, Greater Third Ward",29.72,-95.38,The Heights H-E-B,29.8070977,-95.4092752,Grocery Store
"South Central, Greater Third Ward",29.72,-95.38,CVS pharmacy,29.729950011163236,-95.41909864816579,Pharmacy
"South Central, Greater Third Ward",29.72,-95.38,Bedrock City Comic Co.,29.738429130167564,-95.49966111103411,Comic Shop
"South Central, Greater Third Ward",29.72,-95.38,PetSmart,29.689347,-95.4135854,Pet Store
"South Central, Greater Third Ward",29.72,-95.38,Randalls,29.7488304,-95.3747111,Supermarket
"South Central, Greater Third Ward",29.72,-95.38,Kroger,29.7736237,-95.3899761,Supermarket
"South Central, Greater Third Ward",29.72,-95.38,Rice Epicurean,29.746557109400666,-95.48589879169144,Fruit & Vegetable Store
"South Central, Greater Third Ward",29.72,-95.38,"Spec's Wines, Spirits & Finer Foods",29.738083222098417,-95.51041953766054,Liquor Store
"South Central, Greater Third Ward",29.72,-95.38,Trader Joe's,29.75262739583288,-95.50144920293054,Grocery Store
"South Central, Greater Third Ward",29.72,-95.38,Whole Foods Market,29.752211956945917,-95.5002600692758,Grocery Store
"South Central, Greater Third Ward",29.72,-95.38,CVS pharmacy,29.75152990058736,-95.37637780741177,Pharmacy
"South Central, Greater Third Ward",29.72,-95.38,"Spec's Wines, Spirits & Finer Foods",29.78516934659421,-95.49411949289518,Liquor Store
"South Central, Greater Third Ward",29.72,-95.38,PETCO,29.746612383543432,-95.41084381511897,Pet Store
"South Central, Greater Third Ward",29.72,-95.38,Kroger,29.754123111789752,-95.40543706747485,Supermarket
"South Central, Greater Third Ward",29.72,-95.38,Walgreens,29.742854063730295,-95.39039120078087,Pharmacy
"South Central, Greater Third Ward",29.72,-95.38,Walgreens,29.750449730198486,-95.49663081765169,Pharmacy
"South Central, Greater Third Ward",29.72,-95.38,The Vitamin Shoppe,29.7371869,-95.5012751,Supplement Shop
"South Central, Greater Third Ward",29.72,-95.38,Randalls,29.7488787,-95.4658379,Supermarket
"South Central, Greater Third Ward",29.72,-95.38,Macy's,29.737893463506403,-95.46436099175105,Department Store
"South Central, Greater Third Ward",29.72,-95.38,Kroger,29.7482323,-95.500197,Supermarket
"South Central, Greater Third Ward",29.72,-95.38,H-E-B,29.6886245,-95.4642329,Grocery Store
"South Central, Greater Third Ward",29.72,-95.38,H-E-B,29.7076528,-95.4698099,Grocery Store
"South Central, Greater Third Ward",29.72,-95.38,Fish Gallery,29.73518178548169,-95.48411932629477,Pet Store
"South Central, Greater Third Ward",29.72,-95.38,Sam's Club,29.72419938926226,-95.47079795175348,Warehouse Store
"South Central, Greater Third Ward",29.72,-95.38,CVS pharmacy,29.733914464313486,-95.39135798975319,Pharmacy
"South Central, Greater Third Ward",29.72,-95.38,Marshalls,29.7428056800702,-95.46144448298116,Department Store
"South Central, Greater Third Ward",29.72,-95.38,Target,29.735120688291364,-95.5174901003278,Big Box Store
"South Central, Greater Third Ward",29.72,-95.38,Kroger,29.7429498,-95.3920988,Supermarket
