Zip_Code,Neighborhood,lat,lng,population,median_household_income,median_home_value,Less Than High School,High School Graduate,Associate's Degree,Bachelor's Degree,Master's Degree,Professional Degree,Doctorate Degree
77013,North Shore,29.8,-95.24,17602,36829.0,84900.0,0.4204972933296633,0.49160473437930086,0.020827598862280944,0.04092118542985595,0.02165336269382512,0.00449582530507386,0.0
77014,"Silverglen, Sablechase",29.99,-95.46,28684,40659.0,119300.0,0.2513927576601671,0.5038300835654597,0.07927112349117921,0.12256267409470752,0.03243964716805942,0.009168987929433612,0.0013347260909935005
77015,Cloverleaf,29.77,-95.16,53621,44167.0,92200.0,0.34600233210425135,0.495666698181589,0.05628565125586965,0.07134978412278213,0.024140430493838832,0.004065424978727428,0.0024896788629416027
77016,"East Little York, Homestead",29.86,-95.3,26989,31327.0,63700.0,0.2864006114538407,0.5947480482611781,0.033684555331113177,0.05541300431293334,0.026751105530381614,0.0020745755309275536,0.0009280995796254845
77017,"Meadowbrook, Allendale",29.68,-95.26,32561,35586.0,86400.0,0.42595153936786023,0.4630398032887659,0.029199323805132935,0.052610009733107935,0.016751191025049947,0.009067158444751805,0.003380974335331182
77018,Central Northwest,29.83,-95.43,25563,61980.0,218400.0,0.15155494851859636,0.4525110317293549,0.04953771800798487,0.22347131750367724,0.07170624080689221,0.03383063668837991,0.01738810674511452
77019,"River Oaks, Fourth Ward",29.75,-95.41,18944,87394.0,378700.0,0.04562128993530314,0.23304208630694323,0.026479023544320683,0.3701060494897619,0.19709197625558594,0.0943773761088508,0.03328219835923431
77020,"Greater Fifth Ward, Denver Harbor, Port Houston",29.77,-95.32,25464,29401.0,70500.0,0.4868909148066646,0.4140207481923923,0.02684690348946872,0.053002200565859796,0.01483810122602955,0.003269412134548884,0.0011317195850361521
77021,Greater OST,29.7,-95.36,26042,31103.0,83900.0,0.22961245839277222,0.508678078934855,0.037446504992867335,0.12268188302425106,0.059557774607703284,0.03168093200190204,0.010342368045649072
77022,Independence Heights,29.83,-95.38,29557,28810.0,81700.0,0.4479548495956246,0.4518531448187584,0.04567405597253738,0.03950660382847501,0.008262058532611858,0.004363763309478094,0.0023855239425146914
77023,"Greater Eastwood, Lawndale, Wayside, Gulfgate, Pine Valley",29.72,-95.31,28998,36033.0,102700.0,0.4648450334026941,0.3798050596867813,0.03608586135144015,0.08843500164275545,0.02020589201620852,0.005694885554703756,0.004928266345416712
77024,"Memorial Villages, Briargrove Park",29.77,-95.5,34775,111139.0,658600.0,0.034504766843511905,0.2191950217399976,0.03969045434600502,0.38657305835892936,0.17647293470022737,0.10351430053053572,0.04004946348079301
77025,"Braeswood Place, Willowbend Area",29.68,-95.43,26137,65828.0,331200.0,0.07361897062786311,0.253839935327405,0.01886284020479655,0.29959579628132577,0.1796820264079763,0.0973322554567502,0.07706817569388305
77026,Kashmere Gardens,29.8,-95.32,23940,20024.0,59600.0,0.40414213774026525,0.4998226824597489,0.03688204837222498,0.0386552237747358,0.013192424994680475,0.0031207887084190367,0.004184693949925527
77027,"River Oaks, Bellaire Junction",29.74,-95.45,14331,81661.0,475900.0,0.02312936211653952,0.20012984905047881,0.052751176757019964,0.3940107125466645,0.20613536763512416,0.08643077422496348,0.03741275766920955
