Zip_Code,Name,lat,lng,population,median_household_income,median_home_value,Less Than High School,High School Graduate,Associate's Degree,Bachelor's Degree,Master's Degree,Professional Degree,Doctorate Degree
75034,West Frisco,33.12,-96.88,72723,111318.0,285900.0,0.04945054945054945,0.3037798777098388,0.059049899516825585,0.40077821011673154,0.153226151280626,0.021785607388720228,0.011929704536708427
75035,East Frisco,33.16,-96.77,47553,102913.0,212800.0,0.037188354511822425,0.3200900755991636,0.07649991957535789,0.41550587099887404,0.11523242721569889,0.01968795238861187,0.015795399710471288
75038,"(Cottonwood Valley, Arts District) - Irving",32.88,-96.98,27802,48130.0,171100.0,0.11119524067063277,0.38453217955651703,0.0605191995673337,0.2729583558680368,0.14310438074634937,0.014926987560843699,0.012763656030286641
75039,Las Colinas - Irving,32.88,-96.95,11032,73503.0,389600.0,0.0234625322997416,0.2110594315245478,0.06480620155038759,0.42914728682170544,0.22428940568475453,0.03503875968992248,0.01219638242894057
75040,Northeast Garland,32.93,-96.62,59406,54664.0,113000.0,0.277941336822593,0.45755642787046125,0.07441936539090611,0.14365936102933158,0.03718242285465053,0.00575182640933377,0.0034892596227238033
75041,"(Almeta, Bonite, Bella Vista) - Garland",32.88,-96.65,30700,40136.0,97300.0,0.3406301824212272,0.4720287451630735,0.042233278054173574,0.10088446655610835,0.03504698728579326,0.007186290768380321,0.001990049751243781
75042,"(Forest Crest, Park Groves, Creekside Village) - Garland",32.92,-96.68,37881,39811.0,99200.0,0.34468449776735377,0.47129132650760003,0.0599431690045555,0.08484055748500294,0.031347255423751746,0.005096748004149565,0.0027964458075864867
75043,Bass Park Area - Garland,32.86,-96.59,58094,55149.0,120900.0,0.1580496579542667,0.5345180016897877,0.08342645335368347,0.1591398435583658,0.05110245019214521,0.008939521953612603,0.004824071298138508
75044,"(Firewheel Hills, Picket Place, Camelot) - Garland",32.96,-96.65,40811,64302.0,136000.0,0.11583619702176404,0.44269043528064145,0.09260452462772051,0.23661225658648338,0.0896692439862543,0.010309278350515464,0.012278064146620847
75048,Sachse,32.97,-96.58,20328,87171.0,181500.0,0.07121013543031891,0.5161642638706859,0.07696228338430174,0.2307412261540702,0.0818406873452745,0.003567787971457696,0.019513615843891073
75050,North Grand Prairie,32.78,-96.99,41041,44548.0,104400.0,0.22381996912828012,0.5401332358436917,0.058737509139653914,0.13140791290925338,0.03696482248761069,0.0035746201966041107,0.005361930294906166
75051,South Grand Prairie,32.73,-96.99,39285,40107.0,95400.0,0.34948344929369596,0.5017921146953405,0.03487244360109635,0.08226860636727809,0.02850516550706304,0.0006325110689437065,0.0024457094665823317
75052,Southwest Grand Prairie,32.65,-97.02,88996,66744.0,134300.0,0.14601151545642574,0.4952764268544916,0.08088769634971212,0.19982484580841112,0.062328805411146514,0.009726647660573537,0.0059440624592393835
75054,Estes Park Area - Grand Prairie,32.6,-97.04,5053,105000.0,224600.0,0.025720966484801246,0.3294362171992725,0.10184463497012211,0.3354117952714991,0.1852429202390231,0.0033775006495193557,0.018965965185762535
75056,The Colony,33.07,-96.9,47852,79251.0,167500.0,0.06326905703872153,0.44712002741347623,0.08523098968879474,0.2617675461823619,0.11239525248434629,0.012304912619544563,0.017912214572754742
75057,Northeast to Southeast Lewisville,33.05,-96.98,12900,50338.0,98000.0,0.2747990884011035,0.44152572867938106,0.09979608972052297,0.13326136499940025,0.04665946983327336,0.0005997361161089121,0.0033585222502099076
75060,"(Lamar Brown, Irving Lake, Trinity Oaks) - Irving",32.79,-96.95,45980,45775.0,110000.0,0.32405891980360063,0.4856883069649027,0.051536643026004726,0.09725404619021641,0.03233315148208765,0.0069103473358792505,0.0022185851973086017
75061,"(Garden Oaks, Plymoth Park) - Irving",32.83,-97.01,53442,40084.0,114900.0,0.3342767195598944,0.4590580977517728,0.05390021305688937,0.10824561961395364,0.0323719273698604,0.005374121537825548,0.006773301109803797
75062,"(Hillcrest Oaks, Arts District, Woodhaven) - Irving",32.85,-96.96,44537,45872.0,121600.0,0.21319674392935983,0.4595060706401766,0.062051600441501105,0.18670667770419427,0.05860237306843267,0.011968818984547462,0.00796771523178808
